timestamp,trade_pnl,cumulative_pnl,equity
2022-04-01 12:56:00+05:30,-7040.0,-7040.0,992960.0
2022-04-01 13:35:00+05:30,-7040.0,-14080.0,985920.0
2022-04-04 11:51:00+05:30,-7040.0,-21120.0,978880.0
2022-04-04 13:14:00+05:30,-7040.0,-28160.0,971840.0
2022-04-05 15:30:00+05:30,13224.999999999873,-14935.000000000127,985064.9999999999
2022-04-06 11:24:00+05:30,-7040.0,-21975.000000000127,978024.9999999999
2022-04-06 15:30:00+05:30,4020.0000000001273,-17955.0,982045.0
2022-04-07 15:30:00+05:30,11195.000000000127,-6759.999999999873,993240.0000000001
2022-04-08 10:18:00+05:30,-7040.0,-13799.999999999873,986200.0000000001
2022-04-08 14:08:00+05:30,20960.0,7160.000000000127,1007160.0000000001
2022-04-08 15:29:00+05:30,-145.00000000006366,7015.000000000064,1007015.0000000001
2022-04-11 11:24:00+05:30,-7040.0,-24.999999999936335,999975.0000000001
2022-04-11 13:30:00+05:30,20960.0,20935.000000000065,1020935.0000000001
2022-04-11 13:55:00+05:30,-7040.0,13895.000000000065,1013895.0000000001
2022-04-12 15:30:00+05:30,8465.000000000064,22360.00000000013,1022360.0000000001
2022-04-13 15:29:00+05:30,14904.999999999936,37265.000000000065,1037265.0000000001
2022-04-18 14:09:00+05:30,-7040.0,30225.000000000065,1030225.0000000001
2022-04-18 15:30:00+05:30,2549.9999999998727,32774.99999999994,1032775.0
2022-04-19 11:23:00+05:30,20960.0,53734.99999999994,1053735.0
2022-04-19 14:25:00+05:30,20960.0,74694.99999999994,1074695.0
2022-04-19 14:56:00+05:30,-7040.0,67654.99999999994,1067655.0
2022-04-20 10:54:00+05:30,-7040.0,60614.99999999994,1060615.0
2022-04-20 12:41:00+05:30,-7040.0,53574.99999999994,1053575.0
2022-04-21 15:30:00+05:30,11229.999999999936,64804.999999999876,1064804.9999999998
2022-04-22 10:32:00+05:30,-7040.0,57764.999999999876,1057764.9999999998
2022-04-22 14:44:00+05:30,-7040.0,50724.999999999876,1050724.9999999998
2022-04-25 11:08:00+05:30,-7040.0,43684.999999999876,1043684.9999999999
2022-04-25 12:23:00+05:30,20960.0,64644.999999999876,1064644.9999999998
2022-04-25 14:21:00+05:30,20960.0,85604.99999999988,1085605.0
2022-04-25 14:50:00+05:30,-7040.0,78564.99999999988,1078565.0
2022-04-26 11:04:00+05:30,-7040.0,71524.99999999988,1071525.0
2022-04-26 14:18:00+05:30,-7040.0,64484.99999999988,1064485.0
2022-04-27 10:29:00+05:30,-7040.0,57444.99999999988,1057445.0
2022-04-27 12:02:00+05:30,-7040.0,50404.99999999988,1050405.0
2022-04-28 14:02:00+05:30,20960.0,71364.99999999988,1071365.0
2022-04-28 14:59:00+05:30,-7040.0,64324.99999999988,1064325.0
2022-04-28 15:30:00+05:30,4510.0,68834.99999999988,1068835.0
2022-04-29 14:08:00+05:30,-7040.0,61794.99999999988,1061795.0
2022-04-29 14:54:00+05:30,-7040.0,54754.99999999988,1054755.0
2022-05-02 15:29:00+05:30,2025.000000000191,56780.00000000007,1056780.0
2022-05-04 10:48:00+05:30,20960.0,77740.00000000007,1077740.0
2022-05-04 12:33:00+05:30,20960.0,98700.00000000007,1098700.0
2022-05-04 13:21:00+05:30,-7040.0,91660.00000000007,1091660.0
2022-05-04 15:30:00+05:30,7660.0,99320.00000000007,1099320.0
2022-05-05 11:00:00+05:30,-7040.0,92280.00000000007,1092280.0
2022-05-05 13:59:00+05:30,20960.0,113240.00000000007,1113240.0
2022-05-05 14:57:00+05:30,-7040.0,106200.00000000007,1106200.0
2022-05-06 14:02:00+05:30,-7040.0,99160.00000000007,1099160.0
2022-05-06 14:31:00+05:30,-7040.0,92120.00000000007,1092120.0
2022-05-09 14:07:00+05:30,20960.0,113080.00000000007,1113080.0
2022-05-09 14:32:00+05:30,-7040.0,106040.00000000007,1106040.0
2022-05-10 10:46:00+05:30,-7040.0,99000.00000000007,1099000.0
2022-05-10 12:31:00+05:30,-7040.0,91960.00000000007,1091960.0
2022-05-11 11:36:00+05:30,-7040.0,84920.00000000007,1084920.0
2022-05-11 13:53:00+05:30,-7040.0,77880.00000000007,1077880.0
2022-05-12 14:05:00+05:30,20960.0,98840.00000000007,1098840.0
2022-05-12 14:53:00+05:30,-7040.0,91800.00000000007,1091800.0
2022-05-13 12:34:00+05:30,-7040.0,84760.00000000007,1084760.0
2022-05-13 14:10:00+05:30,-7040.0,77720.00000000007,1077720.0
2022-05-16 11:40:00+05:30,-7040.0,70680.00000000007,1070680.0
2022-05-16 15:30:00+05:30,11685.0,82365.00000000007,1082365.0
2022-05-17 14:48:00+05:30,20960.0,103325.00000000007,1103325.0
2022-05-17 15:30:00+05:30,7029.999999999936,110355.00000000001,1110355.0
2022-05-18 10:33:00+05:30,-7040.0,103315.00000000001,1103315.0
2022-05-18 13:01:00+05:30,-7040.0,96275.00000000001,1096275.0
2022-05-19 10:44:00+05:30,-7040.0,89235.00000000001,1089235.0
2022-05-19 13:14:00+05:30,-7040.0,82195.00000000001,1082195.0
2022-05-20 12:07:00+05:30,-7040.0,75155.00000000001,1075155.0
2022-05-20 15:00:00+05:30,20960.0,96115.00000000001,1096115.0
2022-05-20 15:30:00+05:30,-2245.0000000000637,93869.99999999996,1093870.0
2022-05-23 10:53:00+05:30,-7040.0,86829.99999999996,1086830.0
2022-05-23 13:41:00+05:30,20960.0,107789.99999999996,1107790.0
2022-05-23 13:58:00+05:30,-7040.0,100749.99999999996,1100750.0
2022-05-24 13:09:00+05:30,-7040.0,93709.99999999996,1093710.0
2022-05-24 15:30:00+05:30,3249.9999999998727,96959.99999999983,1096959.9999999998
2022-05-25 12:01:00+05:30,20960.0,117919.99999999983,1117919.9999999998
2022-05-25 12:21:00+05:30,-7040.0,110879.99999999983,1110879.9999999998
2022-05-25 13:21:00+05:30,-7040.0,103839.99999999983,1103839.9999999998
2022-05-26 12:53:00+05:30,-7040.0,96799.99999999983,1096799.9999999998
2022-05-26 13:28:00+05:30,-7040.0,89759.99999999983,1089759.9999999998
2022-05-27 13:17:00+05:30,-7040.0,82719.99999999983,1082719.9999999998
2022-05-27 14:34:00+05:30,-7040.0,75679.99999999983,1075679.9999999998
2022-05-30 11:26:00+05:30,20960.0,96639.99999999983,1096639.9999999998
2022-05-30 12:07:00+05:30,-7040.0,89599.99999999983,1089599.9999999998
2022-05-30 14:05:00+05:30,-7040.0,82559.99999999983,1082559.9999999998
2022-05-31 10:38:00+05:30,-7040.0,75519.99999999983,1075519.9999999998
2022-05-31 11:46:00+05:30,-7040.0,68479.99999999983,1068479.9999999998
2022-06-01 13:15:00+05:30,-7040.0,61439.999999999825,1061439.9999999998
2022-06-01 15:30:00+05:30,-950.0000000001273,60489.999999999694,1060489.9999999998
2022-06-02 13:43:00+05:30,20960.0,81449.9999999997,1081449.9999999998
2022-06-02 15:01:00+05:30,-7040.0,74409.9999999997,1074409.9999999998
2022-06-02 15:30:00+05:30,-40.0,74369.9999999997,1074369.9999999998
2022-06-03 10:43:00+05:30,-7040.0,67329.9999999997,1067329.9999999998
2022-06-03 14:21:00+05:30,-7040.0,60289.999999999694,1060289.9999999998
2022-06-06 15:30:00+05:30,3879.9999999999363,64169.99999999963,1064169.9999999995
2022-06-07 13:15:00+05:30,-7040.0,57129.99999999963,1057129.9999999995
2022-06-07 14:57:00+05:30,-7040.0,50089.99999999963,1050089.9999999995
2022-06-08 10:39:00+05:30,-7040.0,43049.99999999963,1043049.9999999997
2022-06-08 12:09:00+05:30,-7040.0,36009.99999999963,1036009.9999999997
2022-06-09 14:48:00+05:30,20960.0,56969.99999999963,1056969.9999999995
2022-06-10 14:11:00+05:30,20960.0,77929.99999999962,1077929.9999999995
2022-06-10 14:46:00+05:30,-7040.0,70889.99999999962,1070889.9999999995
2022-06-13 13:46:00+05:30,-7040.0,63849.99999999962,1063849.9999999995
2022-06-13 14:30:00+05:30,-7040.0,56809.99999999962,1056809.9999999995
2022-06-15 10:48:00+05:30,-7040.0,49769.99999999962,1049769.9999999995
2022-06-15 13:30:00+05:30,-7040.0,42729.99999999962,1042729.9999999997
2022-06-16 12:42:00+05:30,20960.0,63689.99999999962,1063689.9999999995
2022-06-16 15:30:00+05:30,19140.000000000065,82829.99999999968,1082829.9999999998
2022-06-17 11:22:00+05:30,-7040.0,75789.99999999968,1075789.9999999998
2022-06-17 12:01:00+05:30,-7040.0,68749.99999999968,1068749.9999999998
2022-06-20 13:18:00+05:30,20960.0,89709.99999999968,1089709.9999999998
2022-06-20 15:12:00+05:30,-7040.0,82669.99999999968,1082669.9999999998
2022-06-21 10:59:00+05:30,-7040.0,75629.99999999968,1075629.9999999998
2022-06-21 12:45:00+05:30,-7040.0,68589.99999999968,1068589.9999999998
2022-06-22 13:59:00+05:30,20960.0,89549.99999999968,1089549.9999999998
2022-06-22 14:23:00+05:30,-7040.0,82509.99999999968,1082509.9999999998
2022-06-22 15:30:00+05:30,3424.9999999998727,85934.99999999955,1085934.9999999995
2022-06-23 11:47:00+05:30,-7040.0,78894.99999999955,1078894.9999999995
2022-06-23 12:55:00+05:30,20960.0,99854.99999999955,1099854.9999999995
2022-06-23 13:34:00+05:30,-7040.0,92814.99999999955,1092814.9999999995
2022-06-24 13:58:00+05:30,-7040.0,85774.99999999955,1085774.9999999995
2022-06-24 15:30:00+05:30,-3819.9999999997453,81954.9999999998,1081954.9999999998
2022-06-27 15:03:00+05:30,20960.0,102914.9999999998,1102914.9999999998
2022-06-27 15:23:00+05:30,-7040.0,95874.9999999998,1095874.9999999998
2022-06-27 15:30:00+05:30,2235.0,98109.9999999998,1098109.9999999998
2022-06-28 12:29:00+05:30,-7040.0,91069.9999999998,1091069.9999999998
2022-06-28 15:30:00+05:30,10599.999999999873,101669.99999999967,1101669.9999999998
2022-06-29 13:06:00+05:30,20960.0,122629.99999999967,1122629.9999999998
2022-06-29 15:30:00+05:30,-740.0,121889.99999999967,1121889.9999999998
2022-06-30 12:40:00+05:30,-7040.0,114849.99999999967,1114849.9999999998
2022-06-30 15:30:00+05:30,-3890.0,110959.99999999967,1110959.9999999998
2022-07-01 10:29:00+05:30,-7040.0,103919.99999999967,1103919.9999999998
2022-07-01 10:51:00+05:30,-7040.0,96879.99999999967,1096879.9999999998
2022-07-04 11:03:00+05:30,-7040.0,89839.99999999967,1089839.9999999998
2022-07-04 11:06:00+05:30,-7040.0,82799.99999999967,1082799.9999999998
2022-07-05 13:50:00+05:30,-7040.0,75759.99999999967,1075759.9999999998
2022-07-05 15:30:00+05:30,1149.9999999998727,76909.99999999953,1076909.9999999995
2022-07-06 15:30:00+05:30,1640.0000000000637,78549.99999999959,1078549.9999999995
2022-07-07 15:30:00+05:30,1570.0000000001273,80119.99999999972,1080119.9999999998
2022-07-08 12:46:00+05:30,-7040.0,73079.99999999972,1073079.9999999998
2022-07-08 13:58:00+05:30,-7040.0,66039.99999999972,1066039.9999999998
