entry_time,entry_price,exit_time,exit_price,side,quantity,pnl,pnl_pct,holding_minutes
2026-01-01 10:49:00+05:30,1582.8,2026-01-01 15:31:00+05:30,1575.6,SHORT,1,7.2000000000000455,0.4548900682335131,282.0
2026-01-02 10:19:00+05:30,1587.3,2026-01-02 15:31:00+05:30,1592.3,LONG,1,5.0,0.315000315000315,312.0
2026-01-05 10:24:00+05:30,1599.3,2026-01-05 15:31:00+05:30,1578.1,SHORT,1,21.200000000000045,1.3255799412242883,307.0
2026-01-06 10:19:00+05:30,1527.1,2026-01-06 15:31:00+05:30,1507.6,SHORT,1,19.5,1.2769301290026849,312.0
2026-01-07 10:39:00+05:30,1505.9,2026-01-07 15:35:00+05:30,1504.2,SHORT,1,1.7000000000000455,0.11288930207849428,296.0
2026-01-08 10:44:00+05:30,1484.4,2026-01-08 15:30:00+05:30,1470.6,SHORT,1,13.800000000000182,0.9296685529506993,286.0
2026-01-09 10:34:00+05:30,1474.8,2026-01-09 15:31:00+05:30,1475.3,LONG,1,0.5,0.03390290208841877,297.0
2026-01-12 10:29:00+05:30,1463.8,2026-01-12 15:31:00+05:30,1483.2,LONG,1,19.40000000000009,1.325317666347868,302.0
2026-01-13 10:24:00+05:30,1467.5,2026-01-13 15:31:00+05:30,1452.8,SHORT,1,14.700000000000045,1.0017035775127798,307.0
2026-01-14 10:14:00+05:30,1455.4,2026-01-14 15:31:00+05:30,1458.8,LONG,1,3.3999999999998636,0.2336127525078922,317.0
2026-01-16 10:14:00+05:30,1466.8,2026-01-16 15:31:00+05:30,1457.9,LONG,1,-8.899999999999864,-0.6067630215434868,317.0
2026-01-19 10:39:00+05:30,1408.5,2026-01-19 15:35:00+05:30,1413.6,SHORT,1,-5.099999999999909,-0.3620873269435505,296.0
2026-01-20 10:29:00+05:30,1407.5,2026-01-20 15:31:00+05:30,1394.0,SHORT,1,13.5,0.9591474245115453,302.0
2026-01-21 10:29:00+05:30,1382.8,2026-01-21 15:31:00+05:30,1404.6,SHORT,1,-21.799999999999955,-1.5765114260919841,302.0
2026-01-22 10:44:00+05:30,1403.6,2026-01-22 15:31:00+05:30,1402.5,SHORT,1,1.099999999999909,0.07836990595610638,287.0
2026-01-23 10:29:00+05:30,1401.5,2026-01-23 15:31:00+05:30,1386.1,SHORT,1,15.400000000000091,1.098822689975033,302.0
2026-01-27 10:29:00+05:30,1387.9,2026-01-27 15:31:00+05:30,1380.5,LONG,1,-7.400000000000091,-0.5331796238922177,302.0
2026-01-28 10:24:00+05:30,1397.5,2026-01-28 15:31:00+05:30,1396.7,SHORT,1,0.7999999999999545,0.0572450805008912,307.0
2026-01-29 10:24:00+05:30,1392.0,2026-01-29 15:31:00+05:30,1391.0,SHORT,1,1.0,0.07183908045977011,307.0
2026-01-30 10:19:00+05:30,1388.0,2026-01-30 15:31:00+05:30,1395.4,LONG,1,7.400000000000091,0.5331412103746463,312.0
