timeframe,feature,observations,correct_direction,directional_accuracy_pct,mean_next_bar_return_pct
1m,vwap,377708,187013,49.51,-0.0001
5m,vwap_5m,374223,185064,49.45,-0.00013
15m,vwap_15m,368205,182303,49.51,-0.00016
30m,vwap_30m,359277,177930,49.52,-0.00014
