entry_time,entry_price,exit_time,exit_price,side,quantity,pnl,pnl_pct,holding_minutes,gross_pnl,transaction_cost
2022-04-01 10:29:00+05:30,2639.55,2022-04-01 15:30:00+05:30,2661.0,LONG,10,194.49999999999818,0.7368680267469765,301.0,214.49999999999818,20.0
2022-04-04 11:29:00+05:30,2661.05,2022-04-04 15:29:00+05:30,2660.65,LONG,10,-24.00000000000091,-0.09018996260874809,240.0,-4.0000000000009095,20.0
2022-04-05 10:29:00+05:30,2644.95,2022-04-05 15:30:00+05:30,2626.0,SHORT,10,169.49999999999818,0.6408438722849135,301.0,189.49999999999818,20.0
2022-04-06 10:19:00+05:30,2600.25,2022-04-06 15:30:00+05:30,2616.0,SHORT,10,-177.5,-0.6826266705124507,311.0,-157.5,20.0
2022-04-07 10:14:00+05:30,2588.25,2022-04-07 15:30:00+05:30,2572.2,SHORT,10,140.50000000000182,0.5428378247850935,316.0,160.50000000000182,20.0
2022-04-08 10:14:00+05:30,2592.0,2022-04-08 15:29:00+05:30,2617.95,LONG,10,239.49999999999818,0.9239969135802399,315.0,259.4999999999982,20.0
2022-04-11 10:19:00+05:30,2586.65,2022-04-11 13:31:00+05:30,2636.65,SHORT,10,-520.0,-2.010322231457677,192.0,-500.0,20.0
2022-04-11 13:39:00+05:30,2631.4,2022-04-11 15:29:00+05:30,2610.95,LONG,10,-224.50000000000273,-0.8531580147450131,110.0,-204.50000000000273,20.0
2022-04-12 10:19:00+05:30,2572.15,2022-04-12 15:30:00+05:30,2560.0,SHORT,10,101.50000000000091,0.3946115117703124,311.0,121.50000000000091,20.0
2022-04-13 10:34:00+05:30,2573.25,2022-04-13 15:29:00+05:30,2551.9,SHORT,10,193.4999999999991,0.7519673564558402,295.0,213.4999999999991,20.0
2022-04-18 10:19:00+05:30,2531.85,2022-04-18 15:30:00+05:30,2540.2,SHORT,10,-103.49999999999909,-0.4087919900468001,311.0,-83.49999999999909,20.0
2022-04-19 10:19:00+05:30,2600.0,2022-04-19 15:30:00+05:30,2626.0,LONG,10,240.0,0.9230769230769231,311.0,260.0,20.0
2022-04-20 10:24:00+05:30,2708.0,2022-04-20 15:30:00+05:30,2717.5,LONG,10,75.0,0.27695716395864106,306.0,95.0,20.0
2022-04-21 10:19:00+05:30,2765.9,2022-04-21 15:30:00+05:30,2782.0,LONG,10,140.9999999999991,0.5097798185039195,311.0,160.9999999999991,20.0
2022-04-22 10:19:00+05:30,2762.0,2022-04-22 15:30:00+05:30,2762.0,LONG,10,-20.0,-0.0724112961622013,311.0,0.0,20.0
2022-04-25 10:19:00+05:30,2741.1,2022-04-25 12:23:00+05:30,2701.1,LONG,10,-420.0,-1.5322315858596913,124.0,-400.0,20.0
2022-04-25 12:29:00+05:30,2696.2,2022-04-25 15:30:00+05:30,2696.0,SHORT,10,-18.00000000000182,-0.0667606260663223,181.0,1.999999999998181,20.0
2022-04-26 10:14:00+05:30,2733.05,2022-04-26 15:30:00+05:30,2788.2,LONG,10,531.4999999999964,1.9447137813065853,316.0,551.4999999999964,20.0
2022-04-27 10:14:00+05:30,2815.5,2022-04-27 13:01:00+05:30,2775.5,LONG,10,-420.0,-1.4917421417155035,167.0,-400.0,20.0
2022-04-27 13:19:00+05:30,2778.5,2022-04-27 15:30:00+05:30,2776.0,SHORT,10,5.0,0.017995321216483715,131.0,25.0,20.0
2022-04-28 10:29:00+05:30,2813.75,2022-04-28 15:30:00+05:30,2810.0,LONG,10,-57.5,-0.20435362061306087,301.0,-37.5,20.0
2022-04-29 12:29:00+05:30,2839.05,2022-04-29 15:02:00+05:30,2799.05,LONG,10,-420.0,-1.4793680984836477,153.0,-400.0,20.0
2022-04-29 15:29:00+05:30,2800.0,2022-04-29 15:30:00+05:30,2799.7,SHORT,10,-16.99999999999818,-0.06071428571427921,1.0,3.000000000001819,20.0
2022-05-02 10:34:00+05:30,2777.95,2022-05-02 15:29:00+05:30,2780.9,LONG,10,9.500000000002728,0.03419787973146647,295.0,29.50000000000273,20.0
2022-05-04 10:14:00+05:30,2766.95,2022-05-04 14:35:00+05:30,2686.95,SHORT,10,780.0,2.818988416848877,261.0,800.0,20.0
2022-05-04 14:49:00+05:30,2683.65,2022-05-04 15:30:00+05:30,2692.0,SHORT,10,-103.49999999999909,-0.38566877200826893,41.0,-83.49999999999909,20.0
2022-05-05 10:24:00+05:30,2718.65,2022-05-05 11:37:00+05:30,2678.65,LONG,10,-420.0,-1.5448844095415004,73.0,-400.0,20.0
2022-05-05 11:39:00+05:30,2685.1,2022-05-05 15:30:00+05:30,2643.0,SHORT,10,400.9999999999991,1.4934266880190648,231.0,420.9999999999991,20.0
2022-05-06 10:29:00+05:30,2618.0,2022-05-06 15:30:00+05:30,2628.0,SHORT,10,-120.0,-0.4583651642475172,301.0,-100.0,20.0
2022-05-09 10:24:00+05:30,2549.5,2022-05-09 15:30:00+05:30,2508.0,SHORT,10,395.0,1.5493233967444597,306.0,415.0,20.0
2022-05-10 10:39:00+05:30,2489.05,2022-05-10 15:30:00+05:30,2461.7,SHORT,10,253.50000000000364,1.0184608585605095,291.0,273.50000000000364,20.0
2022-05-11 10:39:00+05:30,2442.3,2022-05-11 15:30:00+05:30,2450.75,SHORT,10,-104.49999999999818,-0.42787536338696386,291.0,-84.49999999999818,20.0
2022-05-12 10:24:00+05:30,2407.35,2022-05-12 15:30:00+05:30,2403.5,SHORT,10,18.49999999999909,0.07684798637505594,306.0,38.49999999999909,20.0
2022-05-13 11:19:00+05:30,2466.85,2022-05-13 15:04:00+05:30,2426.85,LONG,10,-420.0,-1.7025761598800089,225.0,-400.0,20.0
2022-05-13 15:24:00+05:30,2422.8,2022-05-13 15:30:00+05:30,2431.45,SHORT,10,-106.49999999999636,-0.43957404655768684,6.0,-86.49999999999636,20.0
2022-05-16 10:19:00+05:30,2459.95,2022-05-16 15:30:00+05:30,2428.05,LONG,10,-338.99999999999636,-1.3780767901786473,311.0,-318.99999999999636,20.0
2022-05-17 10:39:00+05:30,2494.8,2022-05-17 15:30:00+05:30,2533.5,LONG,10,366.9999999999982,1.4710598043931304,291.0,386.9999999999982,20.0
2022-05-18 10:14:00+05:30,2516.7,2022-05-18 13:40:00+05:30,2566.7,SHORT,10,-520.0,-2.066197798704653,206.0,-500.0,20.0
2022-05-18 13:49:00+05:30,2562.3,2022-05-18 15:29:00+05:30,2542.25,LONG,10,-220.50000000000182,-0.8605549701440184,100.0,-200.50000000000182,20.0
2022-05-19 10:14:00+05:30,2503.2,2022-05-19 15:30:00+05:30,2477.9,LONG,10,-272.99999999999727,-1.0906040268456267,316.0,-252.99999999999727,20.0
2022-05-20 10:39:00+05:30,2557.05,2022-05-20 15:10:00+05:30,2637.05,LONG,10,780.0,3.0503900979644514,271.0,800.0,20.0
2022-05-20 15:19:00+05:30,2632.0,2022-05-20 15:30:00+05:30,2628.85,LONG,10,-51.50000000000091,-0.19566869300912199,11.0,-31.50000000000091,20.0
2022-05-23 10:24:00+05:30,2611.05,2022-05-23 15:30:00+05:30,2602.5,SHORT,10,65.50000000000182,0.2508569349495483,306.0,85.50000000000182,20.0
2022-05-24 10:34:00+05:30,2624.5,2022-05-24 15:30:00+05:30,2615.05,LONG,10,-114.49999999999818,-0.43627357591921573,296.0,-94.49999999999818,20.0
2022-05-25 10:29:00+05:30,2636.65,2022-05-25 15:30:00+05:30,2613.4,SHORT,10,212.5,0.8059469402461457,301.0,232.5,20.0
2022-05-26 10:59:00+05:30,2562.0,2022-05-26 13:18:00+05:30,2612.0,SHORT,10,-520.0,-2.029664324746292,139.0,-500.0,20.0
2022-05-26 13:24:00+05:30,2605.0,2022-05-26 15:30:00+05:30,2589.0,LONG,10,-180.0,-0.690978886756238,126.0,-160.0,20.0
2022-05-27 10:14:00+05:30,2566.4,2022-05-27 15:30:00+05:30,2575.3,SHORT,10,-109.00000000000091,-0.42471945137157463,316.0,-89.00000000000091,20.0
2022-05-30 10:14:00+05:30,2624.65,2022-05-30 15:30:00+05:30,2668.0,LONG,10,413.4999999999991,1.575448154992091,316.0,433.4999999999991,20.0
2022-05-31 10:24:00+05:30,2649.45,2022-05-31 15:30:00+05:30,2623.6,SHORT,10,238.4999999999991,0.9001868312291196,306.0,258.4999999999991,20.0
2022-06-01 10:44:00+05:30,2644.85,2022-06-01 15:30:00+05:30,2635.0,LONG,10,-118.49999999999909,-0.44804053159914203,286.0,-98.49999999999909,20.0
2022-06-02 10:24:00+05:30,2697.0,2022-06-02 15:30:00+05:30,2728.3,LONG,10,293.0000000000018,1.086392287727111,306.0,313.0000000000018,20.0
2022-06-03 10:29:00+05:30,2811.0,2022-06-03 15:30:00+05:30,2778.0,LONG,10,-350.0,-1.2451085023123443,301.0,-330.0,20.0
2022-06-06 10:49:00+05:30,2771.85,2022-06-06 15:30:00+05:30,2766.25,SHORT,10,35.99999999999909,0.12987715785485898,281.0,55.99999999999909,20.0
2022-06-07 11:19:00+05:30,2765.45,2022-06-07 15:30:00+05:30,2767.05,SHORT,10,-36.00000000000364,-0.13017772876025108,251.0,-16.000000000003638,20.0
2022-06-08 10:34:00+05:30,2739.95,2022-06-08 15:30:00+05:30,2722.0,SHORT,10,159.49999999999818,0.5821274110841372,296.0,179.49999999999818,20.0
2022-06-09 10:49:00+05:30,2757.0,2022-06-09 15:30:00+05:30,2796.05,LONG,10,370.5000000000018,1.3438520130576779,281.0,390.5000000000018,20.0
2022-06-10 11:59:00+05:30,2738.75,2022-06-10 15:30:00+05:30,2713.9,SHORT,10,228.4999999999991,0.83432222729347,211.0,248.4999999999991,20.0
2022-06-13 10:19:00+05:30,2640.75,2022-06-13 15:30:00+05:30,2668.0,LONG,10,252.5,0.9561677553725269,311.0,272.5,20.0
2022-06-15 10:19:00+05:30,2629.35,2022-06-15 15:30:00+05:30,2595.8,LONG,10,-355.49999999999727,-1.3520451822693718,311.0,-335.49999999999727,20.0
2022-06-16 10:29:00+05:30,2621.6,2022-06-16 15:30:00+05:30,2555.1,SHORT,10,645.0,2.4603295697284104,301.0,665.0,20.0
2022-06-17 10:19:00+05:30,2597.5,2022-06-17 15:30:00+05:30,2605.05,LONG,10,55.50000000000182,0.2136669874879762,311.0,75.50000000000182,20.0
