"Token","ShortName","Series","CompanyName","TickSize","LotSize","ScripCode","MarketLot","BCastFlag","AVMBuyMargin","AVMSellMargin","ScripID","ScripName","GroupName","NdFlag","NDSDate","NDEDate","SuspStatus","avmflag","SuspensionReason","Suspensiondate","DateOfListing","DateOfDeListing","IssuePrice","FaceValue","ISINCode","52WeeksHigh","52WeeksLow","LifeTimeHigh","LifeTimeLow","HighDate","LowDate","MarginPercentage","ExchangeCode"
"532093","VENPHA","C","VENKAT PHARMA LTD",3.57,1,"532093",0,0,0,0,"VENKPHR","VENKAT PHARMA LTD","","","","","","","","","","",3.23,10,"INE346F01018",3.78,1.99,66.8,1.39,"","","","VENKPHR"
"543528","VENPIP","DR","VENUS PIPES TUBES LIMITED",1895.25,1,"543528",0,0,0,0,"VENUSPIPES","VENUS PIPES TUBES LIMITED","","","","","","","","","","",1263.55,10,"INE0JA001018",1870,888.45,2489.95,316.4,"","","","VENUSPIPES"
"531459","VENPO","DR","VENTRON POLYMERS",1.14,1,"531459",0,0,0,0,"VENTRON","VENTRON POLYMERS","","","","","","","","","","",0.76,10,"INE316C01018",4.95,0.5,13.5,0.5,"","","","VENTRON"
"524038","VENPOL","DR","VENLON ENTERPRISES LTD.",4.23,1,"524038",0,0,0,0,"VENLONENT","VENLON ENTERPRISES LTD.","","","","","","","","","","",2.83,5,"INE204D01022",8.38,3,36.11,0.83,"","","","VENLONENT"
"531874","VENPOW","C","VENUS POWER VENTURES (INDIA) L",1.09,1,"531874",0,0,0,0,"VENUSPOWR","VENUS POWER VENTURES (INDIA) L","","","","","","","","","","",0.99,10,"INE836G01016",2.37,1.04,85.9,1.04,"","","","VENUSPOWR"
"526953","VENREM","C","VENUS REMEDIES LIMITED",1823.9,1,"526953",0,0,0,0,"VENUSREM","VENUS REMEDIES LIMITED","","","","","","","","","","",1650.2,10,"INE411B01019",2043.15,423.7,2043.15,1,"","","","VENUSREM"
"507472","VENSUG","C","VENUS SUGAR LTD",0.79,1,"507472",0,0,0,0,"VENUSUG","VENUS SUGAR LTD","","","","","","","","","","",0.73,10,"INE972B01010",1.69,0.75,25,0.6,"","","","VENUSUG"
"516098","VENTEX","DR","VENTURA TEXTILES LTD.",10.14,1,"516098",0,0,0,0,"VENTURA","VENTURA TEXTILES LTD.","","","","","","","","","","",6.76,10,"INE810C01044",12.4,6.55,91.87,0.35,"","","","VENTURA"
"524802","VERLAB","DR","VERONICA LABORATORIE",3.69,1,"524802",0,0,0,0,"VEROLAB","VERONICA LABORATORIE","","","","","","","","","","",3.35,10,"INE994A01016",13.98,2.92,88,0.9,"","","","VEROLAB"
"543514","VERLEA","DR","VERANDA LEARNING SOLUTIONS LTD",290.75,1,"543514",0,0,0,0,"VERANDA","VERANDA LEARNING SOLUTIONS LTD","","","","","","","","","","",193.85,10,"INE0IQ001011",272.2,129.25,379.9,129.25,"","","","VERANDA"
"531544","VERMAC","C","VERTEX SPINNING LIMITED",1.72,1,"531544",0,0,0,0,"VERTEXSPG","VERTEX SPINNING LIMITED","","","","","","","","","","",1.56,10,"INE863F01038",4.55,1.64,807,1.64,"","","","VERTEXSPG"
"890234","VERPP1","C","VERTEX SECURITIES LTD PP",1.3,1,"890234",0,0,0,0,"VERTEXPP","VERTEX SECURITIES LTD PP","","","","","","","","","","",1.18,2,"IN9316D01014",1.71,0.46,1.71,0.46,"","","","VERTEXPP"
"751103","VERRE1","C","VERTEX SECURITIES LTD RE",0.46,1,"751103",0,0,0,0,"VERTEX-RE","VERTEX SECURITIES LTD RE","","","","","","","","","","",0.2,10,"INE316D20016",0.54,0.33,0.54,0.33,"","","","VERTEX-RE"
"531950","VERSEC","C","VERTEX SECURITIES LTD",3.59,1,"531950",0,0,0,0,"VERTEX","VERTEX SECURITIES LTD","","","","","","","","","","",3.25,2,"INE316D01024",4.59,2.26,58.68,0.55,"","","","VERTEX"
"522015","VESCAR","C","VCCL LTD",4.41,1,"522015",0,0,0,0,"VCCLLTD","VCCL LTD","","","","","","","","","","",3.99,10,"INE460E01010",4.38,4,50,1,"","","","VCCLLTD"
"520113","VESIND","DR","VESUVIUS INDIA LTD",527.5,1,"520113",0,0,0,0,"VESUVIUS","VESUVIUS INDIA LTD","","","","","","","","","","",351.7,1,"INE386A01023",608.45,432,647.45,3.1,"","","","VESUVIUS"
"539331","VETSWI","C","VETO SWITCHGEARS & CABLES LTD",130.05,1,"539331",0,0,0,0,"VETO","VETO SWITCHGEARS & CABLES LTD","","","","","","","","","","",117.75,10,"INE918N01018",153.9,83,265,25.75,"","","","VETO"
"532953","VGUARD","DR","V-GUARD INDUSTRIES LIMITED",398.8,1,"532953",0,0,0,0,"VGUARD","V-GUARD INDUSTRIES LIMITED","","","","","","","","","","",265.9,1,"INE951I01027",392.25,289.05,577.35,2.61,"","","","VGUARD"
"522233","VHCIND","C","VHCL INDUSTRIES LIMITED",0.49,1,"522233",0,0,0,0,"VHCLINDUS","VHCL INDUSTRIES LIMITED","","","","","","","","","","",0.45,2,"INE674D01026",0.6,0.37,18.68,0.03,"","","","VHCLINDUS"
"538732","VIBGLO","C","VIBRANT GLOBAL CAPITAL LIMITED",64.49,1,"538732",0,0,0,0,"VGCL","VIBRANT GLOBAL CAPITAL LIMITED","","","","","","","","","","",58.35,10,"INE761Q01015",66.65,28.1,134.42,15.95,"","","","VGCL"
"530487","VIBORG","C","VIBROS ORGANICS",4.1,1,"530487",0,0,0,0,"VIBROSO","VIBROS ORGANICS","","","","","","","","","","",3.72,10,"INE162Q01016",3.91,3.91,13.5,1,"","","","VIBROSO"
"544124","VIBSTE","DR","VIBHOR STEEL TUBES LIMITED",128.3,1,"544124",0,0,0,0,"VSTL","VIBHOR STEEL TUBES LIMITED","","","","","","","","","","",85.6,10,"INE0QTF01015",187.6,100.6,442,100.6,"","","","VSTL"
"530215","VICAQU","DR","KINGS INFRA VENTURES LIMITED",130.9,1,"530215",0,0,0,0,"KINGSINFR","KINGS INFRA VENTURES LIMITED","","","","","","","","","","",87.3,10,"INE050N01010",178,99.9,236.8,5.3,"","","","KINGSINFR"
"523796","VICHOT","C","VICEROY HOTELS LIMITED",138.45,1,"523796",0,0,0,0,"VHLTD","VICEROY HOTELS LIMITED","","","","","","","","","","",125.35,10,"INE048C01025",156.8,101.1,156.8,0.71,"","","","VHLTD"
"503349","VICMIL","DR","VICTORIA MILLS LTD",6330,1,"503349",0,0,0,0,"VICTMILL","VICTORIA MILLS LTD","","","","","","","","","","",4220,100,"INE203D01016",7279.95,4501,9637.1,31.3,"","","","VICTMILL"
"51217","VICOFS","C","VICEROY HOTELS LTD OFS",0,1,"51217",0,0,0,0,"VHLTD","VICEROY HOTELS LTD OFS","","","","","","","","","","",0,10,"INE000000217",0,0,0,0,"","","","VHLTD"
"531234","VICPAP","DR","SCOOBEE DAY GARMENTS (INDIA)",76.98,1,"531234",0,0,0,0,"SCOOBEEDAY","SCOOBEE DAY GARMENTS (INDIA)","","","","","","","","","","",63,10,"INE962E01015",104.99,61.95,224.67,0.49,"","","","SCOOBEEDAY"
"530595","VICPRO","DR","TELECANOR GLOBAL LIMITED",19.53,1,"530595",0,0,0,0,"TELECANOR","TELECANOR GLOBAL LIMITED","","","","","","","","","","",17.67,10,"INE381G01013",48.5,7.26,55.3,0.9,"","","","TELECANOR"
"750932","VICRE1","C","VICEROY HOTELS LIMITED RE",4.14,1,"750932",0,0,0,0,"VHLTD-RE","VICEROY HOTELS LIMITED RE","","","","","","","","","","",2.76,10,"INE048C20017",13,2.73,13,2.73,"","","","VHLTD-RE"
"505875","VICSYS","DR","VICKERS SYSTEMS INTL LTD",0,1,"505875",0,0,0,0,"","VICKERS SYSTEMS INTL LTD","","","","","","","","","","",0,10,"INE762B01015",0,0,220,5.05,"","","",""
"500945","VIDAPP","C","VALUE INDUSTRIES LIMITED",2.38,1,"500945",0,0,0,0,"VALUEIND","VALUE INDUSTRIES LIMITED","","","","","","","","","","",2.16,10,"INE352A01017",11.7,2.27,280,2.27,"","","","VALUEIND"
"531717","VIDDYE","DR","VIDHI SPECIALTY FOOD ING LTD",366.2,1,"531717",0,0,0,0,"VIDHIING","VIDHI SPECIALTY FOOD ING LTD","","","","","","","","","","",244.2,1,"INE632C01026",414.95,258.75,571.95,0.18,"","","","VIDHIING"
"511389","VIDIN","C","VIDEOCON INDUSTRIES LIMITED",7.61,1,"511389",0,0,0,0,"VIDEOIND","VIDEOCON INDUSTRIES LIMITED","","","","","","","","","","",6.89,10,"INE703A01011",9.18,1.67,749.8,1,"","","","VIDEOIND"
"500947","VIDINT","DR","VIDEOCON INTERNATIONAL LT",0,1,"500947",0,0,0,0,"","VIDEOCON INTERNATIONAL LT","","","","","","","","","","",0,10,"INE341A01010",0,0,282,16,"","","",""
"504991","VIDIRO","C","VIDARBHA IRON & STEEL CORPN L",1.05,1,"504991",0,0,0,0,"","VIDARBHA IRON & STEEL CORPN L","","","","","","","","","","",0.95,10,"",1,1,50,1,"","","",""
"51051","VIDOFS","DR","VIDARBHA IRON & STEEL CORPN L",0,1,"51051",0,0,0,0,"VIDOFS","VIDARBHA IRON & STEEL CORPN L","","","","","","","","","","",0,10,"INE000000051",0,0,0,0,"","","","VIDOFS"
"502520","VIDPAP","DR","VIDHARBHA PAPER MILL",0,1,"502520",0,0,0,0,"","VIDHARBHA PAPER MILL","","","","","","","","","","",0,10,"",0,0,9,9,"","","",""
"890163","VIDPP1","DR","VIDLI RESTAURANTS EQ PP RS 5",22.05,1,"890163",0,0,0,0,"VIDLIPP","VIDLI RESTAURANTS EQ PP RS 5","","","","","","","","","","",19.95,10,"IN9564S01017",21.1,19.15,21.1,19.15,"","","","VIDLIPP"
"750695","VIDRE1","C","VIDLI RESTAURANTS RIGHTS ENT",16.59,1,"750695",0,0,0,0,"VIDLI-RE","VIDLI RESTAURANTS RIGHTS ENT","","","","","","","","","","",7.11,1,"INE564S20019",25,7.1,25,7.1,"","","","VIDLI-RE"
"539659","VIDRES","DR","VIKRAM KAMATS HOSPITALITY  LTD",44.58,1,"539659",0,0,0,0,"KAMATS","VIKRAM KAMATS HOSPITALITY  LTD","","","","","","","","","","",29.72,10,"INE564S01019",69.29,30.2,115.98,8.5,"","","","KAMATS"
"544633","VIDWIR","DR","VIDYA WIRES LIMITED",92.57,1,"544633",0,0,0,0,"VIDYAWIRES","VIDYA WIRES LIMITED","","","","","","","","","","",83.77,1,"INE14UN01029",117.47,43.7,117.47,43.7,"","","","VIDYAWIRES"
"890162","VIEPP1","DR","VIKAS ECOTECH EQ PP RE 0.50",3.41,1,"890162",0,0,0,0,"VECOPP","VIKAS ECOTECH EQ PP RE 0.50","","","","","","","","","","",3.09,0,"IN9806A01010",3.88,2.54,3.88,2.54,"","","","VECOPP"
"750685","VIERE1","C","VIKAS ECOTECH RIGHTS ENTITLEME",0.44,1,"750685",0,0,0,0,"VECO-RE1","VIKAS ECOTECH RIGHTS ENTITLEME","","","","","","","","","","",0.2,10,"INE806A20020",0.48,0.24,0.48,0.24,"","","","VECO-RE1"
"533011","VIINFO","C","CORAL HUB LIMITED",0.74,1,"533011",0,0,0,0,"CORAL-HUB","CORAL HUB LIMITED","","","","","","","","","","",0.68,10,"INE108J01030",4.29,0.71,452.67,0.71,"","","","CORAL-HUB"
"51070","VIIOFS","DR","VIDEOCON INDUSTRIES LTD OFS",0,1,"51070",0,0,0,0,"VIDEOCON","VIDEOCON INDUSTRIES LTD OFS","","","","","","","","","","",0,10,"INE000000070",0,0,0,0,"","","","VIDEOCON"
"532824","VIJATE","C","VTX INDUSTRIES LIMITED",1.5,1,"532824",0,0,0,0,"VTX","VTX INDUSTRIES LIMITED","","","","","","","","","","",1.36,10,"INE119G01025",3.03,1.28,92.5,1.28,"","","","VTX"
"532401","VIJBAN","DR","VIJAYA BANK",55.3,1,"532401",0,0,0,0,"VIJAYABANK","VIJAYA BANK","","","","","","","","","","",36.9,10,"INE705A01016",66,38.35,115.35,6,"","","","VIJAYABANK"
"543350","VIJDIA","DR","VIJAYA DIAGNOSTIC CENTRE LTD",1783,1,"543350",0,0,0,0,"VIJAYA","VIJAYA DIAGNOSTIC CENTRE LTD","","","","","","","","","","",1188.7,1,"INE043W01024",1545.55,847.9,1529.5,292,"","","","VIJAYA"
"537820","VIJFIN","C","VIJI FINANCE LIMITED",12.48,1,"537820",0,0,0,0,"VIJIFIN","VIJI FINANCE LIMITED","","","","","","","","","","",12,1,"INE159N01027",12.24,1.97,14.91,0.14,"","","","VIJIFIN"
"517280","VIJFIR","C","VIJAY FIRE PROTECTIO",0,1,"517280",0,0,0,0,"","VIJAY FIRE PROTECTIO","","","","","","","","","","",0,10,"INE226D01017",0,0,74.25,24.78,"","","",""
"522267","VIJLAK","DR","VEEJAY LAKSHMI ENGINEERING WOR",47.82,1,"522267",0,0,0,0,"VJLAXMIE","VEEJAY LAKSHMI ENGINEERING WOR","","","","","","","","","","",31.88,10,"INE466D01019",67.99,26,193.7,6.4,"","","","VJLAXMIE"
"521135","VIJMIL","DR","VIJAYKUMAR MILLS",47.75,1,"521135",0,0,0,0,"","VIJAYKUMAR MILLS","","","","","","","","","","",43.25,10,"",80,45.5,85,45.5,"","","",""
"750865","VIJRE1","C","VIJI FINANCE LTD RE",0.93,1,"750865",0,0,0,0,"VIJIFI-RE","VIJI FINANCE LTD RE","","","","","","","","","","",0.41,10,"INE159N20019",0.9,0.47,0.9,0.47,"","","","VIJIFI-RE"
"523724","VIJSHA","C","VIJAY SHANTHI BUILDERS LIMITED",3.95,1,"523724",0,0,0,0,"VIJSHAN","VIJAY SHANTHI BUILDERS LIMITED","","","","","","","","","","",3.59,10,"INE806F01011",8.95,3.77,219.9,0.3,"","","","VIJSHAN"
"519331","VIJSHR","DR","VSF PROJECTS LIMITED",35.49,1,"519331",0,0,0,0,"VSFPROJ","VSF PROJECTS LIMITED","","","","","","","","","","",29.05,10,"INE923K01014",57.45,28.25,82.72,3.18,"","","","VSFPROJ"
"531069","VIJSOL","DR","VIJAY SOLVEX LTD",759.15,1,"531069",0,0,0,0,"VIJSOLX","VIJAY SOLVEX LTD","","","","","","","","","","",686.85,10,"INE362D01010",879.95,301,5961.5,10,"","","","VIJSOLX"
"530151","VIJTEX","C","VIJAY TEXTILES LTD",4.14,1,"530151",0,0,0,0,"VIJAYTX","VIJAY TEXTILES LTD","","","","","","","","","","",3.76,10,"INE256G01033",10,3.95,162.83,3.95,"","","","VIJAYTX"
"544371","VIKARO","DR","VIKRAM AROMA LIMITED",95.04,1,"544371",0,0,0,0,"VIKRAMAR","VIKRAM AROMA LIMITED","","","","","","","","","","",63.36,10,"INE0NR501012",115.25,53.11,148.85,53.11,"","","","VIKRAMAR"
"530961","VIKECO","DR","VIKAS ECOTECH LIMITED",1.33,1,"530961",0,0,0,0,"VIKASECO","VIKAS ECOTECH LIMITED","","","","","","","","","","",0.89,1,"INE806A01020",2.24,0.95,15.28,0.95,"","","","VIKASECO"
"506196","VIKENG","C","VIKSIT ENGINEERING LTD",6.37,1,"506196",0,0,0,0,"VIKSHEN","VIKSIT ENGINEERING LTD","","","","","","","","","","",0.64,10,"INE965V01020",4.25,4,5,4,"","","","VIKSHEN"
"544496","VIKENL","DR","VIKRAN ENGINEERING LIMITED",78.21,1,"544496",0,0,0,0,"VIKRAN","VIKRAN ENGINEERING LIMITED","","","","","","","","","","",52.15,1,"INE01R501028",118.4,51.11,118.4,51.11,"","","","VIKRAN"
"531518","VIKGRA","C","VIKAS PROPPANT AND GRANITE LTD",0.25,1,"531518",0,0,0,0,"VIKASPROP","VIKAS PROPPANT AND GRANITE LTD","","","","","","","","","","",0.23,1,"INE767B01022",0.39,0.24,18.2,0.23,"","","","VIKASPROP"
"526679","VIKLAM","DR","GALORE PRINTS",2.42,1,"526679",0,0,0,0,"GALORE","GALORE PRINTS","","","","","","","","","","",1.62,10,"INE648C01014",4.1,1.18,25,1.18,"","","","GALORE"
"532677","VIKMET","C","VIKASH METAL AND POWER LTD",0.57,1,"532677",0,0,0,0,"VIKASHMET","VIKASH METAL AND POWER LTD","","","","","","","","","","",0.53,10,"INE158H01013",2.04,0.5,53,0.5,"","","","VIKASHMET"
"542655","VIKMUL","DR","VIKAS LIFECARE LIMITED",1.51,1,"542655",0,0,0,0,"VIKASLIFE","VIKAS LIFECARE LIMITED","","","","","","","","","","",1.01,1,"INE161L01027",2.37,1.05,13.76,1.44,"","","","VIKASLIFE"
"890160","VIKPP1","DR","VIKAS LIFECARE LTD PP RS 0.40",2.15,1,"890160",0,0,0,0,"VLIFEPP","VIKAS LIFECARE LTD PP RS 0.40","","","","","","","","","","",1.95,1,"IN9161L01017",2.05,1.13,2.05,1.13,"","","","VLIFEPP"
"750676","VIKRE1","C","VIKAS LIFECARE RIGHTS ENTITLE",0.68,1,"750676",0,0,0,0,"VLIFE-RE1","VIKAS LIFECARE RIGHTS ENTITLE","","","","","","","","","","",0.3,10,"INE161L20027",1.45,0.4,1.45,0.4,"","","","VLIFE-RE1"
"531334","VIKSEC","DR","VIKALP SECURITIES LTD",18.9,1,"531334",0,0,0,0,"VIKALPS","VIKALP SECURITIES LTD","","","","","","","","","","",17.1,10,"INE186E01011",37.43,17.2,60.51,1.1,"","","","VIKALPS"
"544488","VIKSOL","DR","VIKRAM SOLAR LIMITED",195.8,1,"544488",0,0,0,0,"VIKRAMSOLR","VIKRAM SOLAR LIMITED","","","","","","","","","","",130.6,10,"INE078V01014",407.85,155.75,407.85,155.75,"","","","VIKRAMSOLR"
"530477","VIKTHE","C","VIKRAM THERMO (INDIA) LTD",290.1,1,"530477",0,0,0,0,"VIKRAMTH","VIKRAM THERMO (INDIA) LTD","","","","","","","","","","",262.5,10,"INE337E01010",276.3,130.6,263.15,0.45,"","","","VIKRAMTH"
"509301","VIKTYR","DR","VIKRANT TYRES",0,1,"509301",0,0,0,0,"","VIKRANT TYRES","","","","","","","","","","",0,10,"INE234D01011",0,0,150,4.5,"","","",""
"519307","VIKWSP","C","VIKAS WSP LTD",0.98,1,"519307",0,0,0,0,"VIKASWSP","VIKAS WSP LTD","","","","","","","","","","",0.9,1,"INE706A01022",1.61,0.8,153.9,0.8,"","","","VIKASWSP"
